Segment_ID,Segment_Name,Class,FACT_SHEET,HMW ,Waterbody_Index_Number,Description,Monitoring_Data,USGS,6NYCRR_Chapter_X_Part,Basin,Segment_Miles,Waterbody_Type,Notes,Shape__Area,Shape__Length
0202-0004,Findley Lake,B,https://www.dec.ny.gov/data/WQP/PWL/0202-0004.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0004/2018,Pa-84- 2-P153,entire lake,,,800,Allegheny River,,Ponds,,1203231.97,9194.610165
0201-0016,Cuba Lake,B,https://www.dec.ny.gov/data/WQP/PWL/0201-0016.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0016/2018,Pa-53-54-11- 5-P115,entire lake,,,801,Allegheny River,,Ponds,SN,1841286.801,12938.08109
0201-0020,Case Lake,C(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0020.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0020/2018,Pa-53-54-10-22-P109c,entire lake,,,801,Allegheny River,,Ponds,,278688.6657,3593.908253
0201-0023,Allegheny River/Reservoir,B,https://www.dec.ny.gov/data/WQP/PWL/0201-0023.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0023/2018,Pa-53 (portion 1)/P95a,entire reservoir within New York State,https://www.wqdatalive.com/public/15,,802,Allegheny River,,Ponds,SN,13238118.4,39465.86432
0201-0030,Quaker Lake,B(T),https://www.dec.ny.gov/data/WQP/PWL/0201-0030.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0030/2018,Pa-53- 8-P90,entire lake,,,802,Allegheny River,,Ponds,,1115593.827,6684.482211
0201-0033,Red House Lake,B,https://www.dec.ny.gov/data/WQP/PWL/0201-0033.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0201-0033/2018,Pa-53-15-P95b,entire lake,,,802,Allegheny River,,Ponds,,439708.8039,4115.477695
0202-0001,Upper Cassadaga Lake,B,https://www.dec.ny.gov/data/WQP/PWL/0202-0001.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0001/2018,Pa-63-13-P133-3-P134-P135,entire lake,,,800,Allegheny River,,Ponds,,417136.2982,3349.921958
0202-0002,Middle Cassadaga Lake,C,https://www.dec.ny.gov/data/WQP/PWL/0202-0002.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0002/2018,Pa-63-13-P133-3-P134,entire lake,,,800,Allegheny River,,Ponds,,106694.9651,2328.255506
0202-0003,Lower Cassadaga Lake,B,https://www.dec.ny.gov/data/WQP/PWL/0202-0003.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0003/2018,Pa-63-13-P133,entire lake,,,800,Allegheny River,,Ponds,,372977.7173,3443.61739
0202-0072,"Chautauqua Lake, North",A,https://www.dec.ny.gov/data/WQP/PWL/0202-0072.html,https://mywaterway.epa.gov/waterbody-report/21NYDECA/NY0202-0072/2018,Pa-63-13- 4-P122 (portion 2),"portion of lake, north of Bemus Point",,,800,Allegheny River,,Ponds,,28662891.42,38963.60294
