Segment ID,Waterbody Index Number (WIN),Name,Description,6NYCRR Chapter X Part,Water Quality Class,Basin,Segment Miles,Waterbody Type
0101-0001,Ont 158- 8,Cayuga Creek and minor tribs,entire stream and selected tribs,837,C,Niagara River/Lake Erie,21.64,Streams
0101-0002,Ont 158- 6,Gill Creek and tribs,entire stream and tribs,837,C,Niagara River/Lake Erie,12.34,Streams
0101-0004,Ont 158- 8-1,Bergholtz Creek and tribs,entire stream and tribs,837,C,Niagara River/Lake Erie,33.05,Streams
0101-0005,Ont 158-13,Two Mile Creek and tribs,entire stream and tribs,837,B,Niagara River/Lake Erie,7.14,Streams
0101-0006,Ont 158 (portion 2),"Niagara River, Upper, Main Stem",from Niagara Falls to Lake Erie,837,A-S,Niagara River/Lake Erie,24.33,Streams
0101-0007,Ont 158..E- 2,"Smoke Creek, Lower, and minor tribs","stream and selected tribs, fr mouth to Webster Corners",837,C,Niagara River/Lake Erie,7.22,Streams
0101-0011,Ont 158 G.I.-1 thru 6,Grand Island (all tribs to Niagara R),total length of all Grand Island tribs to Niagara River,837,B,Niagara River/Lake Erie,47.86,Streams
0101-0023,Ont 158-15,"Scajaquada Creek, Lower, and tribs","stream and tribs, from mouth to Main Street in Buffalo",837,B,Niagara River/Lake Erie,0.29,Streams
0101-0025,Ont 158 (portion 4),Black Rock Canal,entire canal,837,C,Niagara River/Lake Erie,0.18,Streams
0101-0027,Ont 158 (portion 1),"Niagara River, Lower, Main Stem",from Lake Ontario to Niagara Falls,848,A-S,Niagara River/Lake Erie,12.04,Streams
0101-0028,Ont 158 (portion 3),Chippewa (West) Channel,entire channel (in NYS),837,A-S,Niagara River/Lake Erie,0.07,Streams
0101-0029,Ont 158- 1 thru 5,Minor Tribs to Niagara River,"total length of all tribs, from mouth to Niagara Falls",837,C,Niagara River/Lake Erie,9.85,Streams
0101-0031,Ont 158- 7 thru 11,Minor Tribs to Niagara River,"total length of selected tribs, fr Niag.Falls to L.Erie",837,C,Niagara River/Lake Erie,2.5,Streams
0101-0032,Ont 158-14,unnamed trib to Niagara River,entire stream and tribs,837,B,Niagara River/Lake Erie,2.98,Streams
0101-0033,Ont 158-15,"Scajaquada Creek, Middle, and tribs","stream and tribs, from Main Street to Cheektowaga",837,C,Niagara River/Lake Erie,8.32,Streams
0101-0034,Ont 158-15,"Scajaquada Creek, Upper, and tribs","stream and tribs, above Cheektowaga",837,B,Niagara River/Lake Erie,15.14,Streams
0101-0035,Ont 158..E- 2,"Smoke Creek, Upper, and tribs","stream and tribs, above Webster Corners",837,C,Niagara River/Lake Erie,25.47,Streams
0101-0036,Ont 158..E- 2- 1,"South Branch Smoke Cr, Lower, and tribs","stream and tribs, from mouth to Orchard Park",837,C,Niagara River/Lake Erie,27.19,Streams
0101-0037,Ont 158..E- 2- 1,"South Branch Smoke Cr, Upper, and tribs","stream and tribs, above Orchard Park",837,B,Niagara River/Lake Erie,4.66,Streams
