Site_ID,PWL_ID,Segment_Name,Municipality,Site Description,Latitude,Longitude,DEC_Region,Watershed_ID,sampleinfo_present,chem_lab_present,chem_insitu_present,macroinfometrics_present,macroraw_present,habitat_present,userperc_present
17-ABET-1.0,1701-0239,Abets Creek,Brookhaven,upstream of culvert on south country rd.,40.761745,-72.976233,1,(MW6.3e) GB-SIS-SHB-134,T,F,T,T,T,T,T
03-ABIJ-2.9,0303-0053,Abijah Creek,Worth,500 ft east off cr 95.,43.76523,-75.89215,6,Ont 45,F,F,F,F,F,F,T
11-LROND-0.0,1104-0074,Adirondack Lake,Indian Lake,,43.79,-74.2624,5,H-461-15-P587a,F,F,F,F,T,F,F
13-AGAW-3.2,1310-0060,Agawamuck Creek,Claverack,20 m above stevers crossing rd. bridge.,42.23333,-73.63055,4,H-204- 3,T,F,T,T,T,F,F
02-ALBC-0.1,0202-0068,Alder Bottom Creek,Sherman,Upstream Sherman Clymer road / Coutney Touring route 15.,42.107368,-79.625273,9,Pa-81-25,T,,T,,,T,T
10-ALDE-0.7,1003-0038,Alder Brook,Franklin,10 m above rte 3.,44.57167,-73.94384,5,C- 15-22,T,T,T,T,T,T,T
07-ALDC-0.1,0703-0067,Alder Creek,Lewis,near fish creek. 15 m above junction rd. bridge. 40 m above e. br. fish creek.,43.52778,-75.54916,6,ONT-66-11-P26-24-14-29,T,F,T,T,T,T,T
08-ALDR-2.0,0801-0424,Alder Creek,Boonville,10 m below egypt rd. bridge.,43.42306,-75.23027,6,ONT-19-103,T,F,T,F,F,F,F
14-LALDR-0.0,1403-0086,Alder Lake,Hardenburgh,Site Condition listed as reference.,42.048401,-74.6763,3,D-70-20-47-P346,F,F,F,F,T,F,F
09-ALDM-0.8,0902-0115,Alder Meadow Brook,Parishville,cook rd. bridge half mile from colton parishville rd.,44.619304,-74.843002,6,SL(C)-32-20-12,T,T,T,T,T,T,T
02-ALGY-9.4,0201-0023,Allegheny River,Cold Spring,rte. 17 bridge.,42.1,-78.86195,9,PA-53,T,F,T,T,T,F,F
02-ALGY-20.3,0201-0023,Allegheny River,Salamanca,200 m below main street bridge.,42.15716,-78.71793,9,PA-53,T,T,T,T,T,T,T
02-ALGY-21.1,0201-0023,Allegheny River,Salamanca,150 m above rt. 417 bridge.,42.15454,-78.70354,9,PA-53,T,F,T,T,T,T,T
02-ALGY-28.6,0201-0024,Allegheny River,Carrollton,200 m below sr 219 bridge.,42.08372,-78.6417,9,PA-53,T,F,T,T,T,F,T
02-ALGY-33.1,0201-0024,Allegheny River,Allegany,above bridge off south nine mile rd.,42.09417,-78.57388,9,PA-53,T,F,T,T,T,F,T
02-ALGY-37.4,0201-0025,Allegheny River,Allegany,south side of allegheny bridge.,42.09031,-78.50125,9,PA-53,T,F,T,T,T,F,T
02-ALGY-42.0,0201-0025,Allegheny River,Olean,below union st. (rte 16) bridge. at boat launch.,42.0701,-78.4312,9,PA-53,T,F,T,T,T,F,T
02-ALGY-44.5,0201-0009,Allegheny River,Olean,above haskell creek; e. river drive.,42.06582,-78.39345,9,PA-53,T,F,T,T,T,F,T
02-ALGY-49.5,0201-0026,Allegheny River,Portville,250 m below west river rd. bridge.,42.01625,-78.34212,9,PA-53,T,F,T,T,T,T,T
09-ALLE-1.9,0902-0100,Allen Brook,Lawrence,hallahan rd.,44.79634,-74.71885,6,SL(C)-32- 6- 3,F,F,F,F,F,F,F
09-ALLE-6.6,0902-0101,Allen Brook,Lawrence,cr 55 bridge.,44.75774,-74.66948,6,SLC-32-6-3-2,T,F,T,F,F,T,T
12-ALLN-0.1,1202-0066,Allen Brook,Hunter,100 m above confl w/gooseberry ck. below golf cours.,42.18889,-74.14917,4,H-240-82-147b-1,T,F,T,F,F,F,F
03-ALEN-0.3,0302-0022,Allen Creek,Penfield,allen creek development; 50 m below bridge.,43.13134,-77.50321,8,ONT-18-P113-3-8,T,F,T,T,T,F,F
03-ALEN-7.8,0302-0022,Allen Creek,Henrietta,just upstream of brighton henrietta.,43.09546,-77.58852,8,ONT-18-P113-3-8,T,F,T,T,T,T,T
03-WCORG-1.4,0302-0022,Allen Creek,Brighton,upstream from swimming/fishing hole in corbett's glen nature park.,43.134266,-77.525088,8,ONT-108/P113-3,F,F,F,F,F,F,F
12-ALPL-0.2,1201-0099,Alplaus Kill,Glenville,at alplaus ave bridge.,42.85472,-73.90334,4,H-24-20,F,F,F,T,T,F,F
12-ALPL-1.5,1201-0099,Alplaus Kill,Glenville,50 m above glenridge rd. bridge.,42.8669,-73.90219,4,H-240-20,T,T,T,T,T,F,F
