PWL_ID,WIN,NAME,DESCRIPT,BASIN,FACT_SHEET,Shape__Length
0801-0199,Ont  19 (portion 5),"Black River, Middle, Main Stem",from Lowville to Lyons Falls,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0199.html,36183.85881
0801-0200,Ont  19- 51,"Mill Creek/South Branch, and tribs","stream and tribs, from mouth to Lowville",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0200.html,55181.50955
0801-0201,Ont  19- 92,Mill Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0201.html,26257.07528
0801-0202,Ont  19 (portion 2),"Black River, Lower, Main Stem",from Watertown to Black River,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0202.pdf,7271.578416
0801-0207,Ont  19- 81-18-P782a..P786/P787-,Tribs to Fulton Chain Lakes,total length of select tribs to Fifth thru Eighth Lks,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0207.html,41508.53563
0901-0015,SL (portion 3),"Saint Lawrence River, Main Stem",from Waddington to Ogdensburg,Saint Lawrence River,https://www.dec.ny.gov/data/WQP/PWL/0901-0015.pdf,43517.93209
0901-0025,SL-41 thru 55 (sel),Minor Tribs to St.Lawrence,"total length of select tribs, Alex Bay to Cape Vincent",Saint Lawrence River,https://www.dec.ny.gov/data/WQP/PWL/0901-0025.pdf,113062.4089
0101-0006,Ont 158 (portion 2),"Niagara River, Upper, Main Stem",from Niagara Falls to Lake Erie,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0101-0006.pdf,39153.59627
0101-0027,Ont 158 (portion 1),"Niagara River, Lower, Main Stem",from Lake Ontario to Niagara Falls,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0101-0027.html,19380.32616
1005-0015,C- 96,"Putnam Creek, Upper, and tribs",stream and tribs above Penfield Pond,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0015.html,87489.499
1005-0020,C-103 thru 122 (selected),Minor Tribs to Lake Champlain,"total length of selected tribs, South Lake",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0020.pdf,114482.804
1006-0022,C-101-P367-49 thru 73 (selected),"Tribs to L.George, Town of Bolton",total length of selected tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1006-0022.pdf,35202.21167
1006-0023,C-101-P367-65,Northwest Bay Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1006-0023.html,105694.5134
1401-0001,D (portion 3),"Delaware River, Upper, Main Stem",from Callicoon to East/West Branches,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0001.html,44496.08001
1401-0019,D (portion 2),"Delaware River, Middle Main Stem",from Lackawaxen River to Callicoon,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0019.html,42756.97194
1401-0020,D (portion 1),"Delaware River, Lower, Main Stem",from NY-PA-NJ border to Lackawaxen River,Delaware River,https://www.dec.ny.gov/data/WQP/PWL/1401-0020.html,39803.40688
0801-0038,Ont  19 (portion 6),"Black River, Middle, Main Stem",from Lyons Falls to Forestport,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0038.html,35889.98195
0801-0197,Ont  19- 40 (portion  1),"Beaver River, Lower, and tribs","stream and tribs, from mouth to Beaver Falls",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0197.html,81883.43212
0801-0170,Ont  19- 31,"Deer River, Lower, and tribs","stream and tribs, from mouth to Copenhagen",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0170.pdf,30776.11009
0801-0171,Ont  19- 40- 3,Black Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0171.html,99421.78143
0801-0184,Ont  19- 40-P493- 1 thru 35 (sel),Minor Tribs to Stillwater Reservoir,total length of selected tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0184.pdf,181108.2415
0801-0190,Ont  19 (portion 3),"Black River, Middle, Main Stem",from Black River to Carthage,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0190.html,39151.68897
0801-0191,Ont  19-  6,Kelsey Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0191.html,21488.11031
0801-0196,Ont  19-  1 thru 5,Minor Tribs to Black River,"total length of select tribs, mouth to Watertown",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0196.html,85327.50564
1004-0056,C- 25-26,"West Br Ausable, Upper, and tribs",stream and tribs above Lake Placid,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0056.html,142274.4429
1004-0069,C- 25-26-35-5-P254-,Minor Tribs to Lake Placid,total length of selected tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0069.pdf,17496.86782
1004-0071,C- 25-27,"East Br Ausable, Middle, and tribs",stream and selected tribs fr Upper Jay to Keene Valley,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0071.html,250961.0683
1004-0072,C- 25-27,"East Br Ausable, Upper, and tribs",stream and tribs above Keene Valley,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0072.html,155953.5609
1004-0073,C- 25-27- 9,"Rocky Branch, Upper, and tribs",stream and tribs above Jay water supply dam,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0073.pdf,38002.68453
1004-0074,C- 25-27-36,Johns Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0074.html,64583.38979
1005-0021,C-100,Fivemile Run and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0021.html,29191.95796
1005-0023,C-102,Charter Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0023.pdf,21552.47428
1005-0024,C-106,Mill Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0024.html,46373.67492
1005-0027,C-123 thru 133 (selected),Minor Tribs to South Bay,"total length of selected tribs, South Bay",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0027.pdf,25213.06598
1005-0027,C-123 thru 133 (selected),Minor Tribs to South Bay,"total length of selected tribs, South Bay",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0027.pdf,9505.657147
1005-0028,C-127,"Pike Brook, Upper, and tribs",stream and tribs above Whitehall water supply dam,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0028.pdf,35603.37812
1005-0033,C-128,Mount Hope Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0033.html,73066.59181
1005-0034,C-134,"Mettawee River, Lower, and minor tribs",stream and selected tribs from mouth to trib -15,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0034.pdf,66287.00662
1005-0035,C-134- 2,Mud Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0035.html,26662.41727
1005-0036,C-134- 4,Wood Cr/Champlain Canal and minor tribs,entire stream and selected tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0036.html,212074.2239
1003-0052,C- 15- 1 thru 10,"Minor Tribs to Saranac River, Lower","total length of selected tribs, fr mouth to Woods Mills",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0052.pdf,89466.46318
1003-0053,C- 15-11 thru 30 (selected),Minor Tribs to Middle Saranac River,"total length of selected tribs, Elsinore to Union Falls",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0053.pdf,163538.3104
1003-0055,C- 15-18,True Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0055.pdf,89188.65343
1003-0056,C- 15-22- 3,Cold Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0056.pdf,56986.24085
1003-0070,C- 15-51,Towbridge Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0070.html,99516.15072
1003-0071,C- 15-31 thru 47 (selected),"Minor Tribs to Saranac River, Upper","total length of selected tribs, above Franklin Falls Pd",Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0071.html,82620.86214
1003-0074,C- 15-P 86-P 90-60,Ray Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0074.html,33407.84726
1003-0075,C- 15-P 86/P 90-57 thru 64 (select),Minor Tribs to Lake Flower/Oseetah Lake,total length of selected tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0075.pdf,14586.2697
1003-0077,C- 15-P 86-P 90-65,Cold Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0077.pdf,50337.01355
1003-0082,C- 15-P104-66 thru 74,Tribs to Lower Saranac Lake,total length of all tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0082.html,32851.48683
1003-0087,C- 15-P114- 1 thru 15,Tribs to Upper Saranac Lake,total length of all tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0087.pdf,68011.33264
1003-0116,C- 15-12-3,"Behan Brook, Upper, and tribs",stream and tribs above Dannemora Water Supply dam,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0116.pdf,10.25988185
1003-0117,C- 15-19,"Mud Pond Brook, Upper, and tribs",stream and tribs above Redford Water Supply dam,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0117.pdf,8393.463719
1003-0118,C- 15-54,Moose Creek and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0118.pdf,21742.09415
1004-0028,C- 25-26-35,Chubb River and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0028.html,53423.55709
1304-0022,H- 95-10,"Sprout Creek, Upper, and tribs","stream and tribs, above Noxon",Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1304-0022.html,109704.5618
1304-0023,H- 95-10- 2,Jackson Creek and tribs,entire stream and tribs,Lower Hudson River,https://www.dec.ny.gov/data/WQP/PWL/1304-0023.pdf,48389.3574
1004-0036,C- 48- 6,"North Branch Boquet, Upper, and tribs",stream and tribs above Reber/Spruce Mill Brook,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0036.pdf,135556.0426
1004-0037,C- 48,"Boquet River, Lower, and tribs",stream and tribs from mouth to Willsboro,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0037.html,9878.218143
1004-0039,C- 48,"Boquet River, Middle, and minor tribs",stream and selected tribs from Willsboro to Wadhams,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0039.pdf,114709.9234
1004-0040,C- 48-34,The Branch (Boquet) and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0040.pdf,77549.34161
1004-0042,C- 25-26,"West Br Ausable, Lower, and minor tribs",stream and selected tribs from mouth to Wilmington,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0042.html,242322.3429
1004-0047,C- 21,"Salmon River, Upper, and tribs",stream and tribs above Davis Lake,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0047.html,118071.5867
1004-0054,C- 25- 8-P218-,Tribs to Butternut Pond,total length of selected tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0054.pdf,9654.745599
0801-0210,Ont  19- 40 (portion 10),"Beaver River, Upper, and tribs","stream and tribs, from Beaver Lake to Moshier Reservoir",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0210.html,173443.4691
0801-0211,Ont  19- 40-P493-32,Twitchell Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0211.html,49988.29717
0801-0212,Ont  19- 81-18-17,North Branch Moose River and minor tribs,entire stream and select tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0212.html,104681.6896
0801-0213,Ont  19- 81-18-17-P752-,Tribs to Big Moose Lake,total length of all tribs to the lake,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0213.html,82747.96067
0801-0218,Ont  19- 31,"Deer River, Upper, and tribs","stream and select tribs, above Copenhagen",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0218.html,96544.09766
0801-0219,Ont  19- 40- 7,Murmur Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0219.html,71406.99829
0801-0220,Ont  19- 57,"Independence River, Lower, and tribs","stream and tribs, from mouth to Sperryville",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0220.html,57556.79956
0801-0221,Ont  19- 57,"Independence River, Upper, and tribs","stream and tribs, above Sperryville",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0221.pdf,274761.8159
0801-0222,Ont  19- 58,Roaring Brook and minor tribs,entire stream and select tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0222.html,111518.4734
0801-0223,Ont  19- 59,"Whetstone Gulf, Upper, and tribs","stream and tribs, in/above state park",Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0223.pdf,7122.98741
0801-0224,Ont  19- 60,Otter Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0224.html,237981.136
0801-0225,Ont  19- 70,Fish Creek and tribs,entire stream and tribs,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0225.html,82002.34561
1006-0024,C-101-P367-74 thru 89 (selected),"Tribs to L.George, Town of Hague",total length of selected tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1006-0024.pdf,52588.7384
1006-0032,C-101-P367-41,English Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1006-0032.html,24374.74427
0501-0003,Pa  3-28,"Newtown Creek, Lower, and tribs","stream and selected tribs, mouth to Elmira Hgts N",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0003.html,25332.13485
0501-0004,Pa  3-52,"Post Creek, Upper, and tribs","stream and tribs, above Ferenbaugh",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0004.html,68916.32909
0501-0007,Pa  3-28,"Newtown Creek, Middle, and minor tribs","stream and selected tribs, Elmira Hgts N to Breesport",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0007.pdf,31041.87309
0501-0013,Pa  3-18,Seeley Creek and minor tribs,entire stream and selected tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0013.html,61513.91865
0501-0014,Pa  3 (portion 1),"Chemung River, Lower, Main Stem",from Waverly to Wellsburg,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0014.html,16104.4953
0501-0015,Pa  3 (portion 2),"Chemung River, Lower, Main Stem",from Wellsburg to Elmira,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0015.pdf,14760.62811
0501-0016,Pa  3 (portion 3),"Chemung River, Upper, Main Stem",from Elmira to near Big Flats,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0016.html,18503.46392
1005-0039,C-134- 4-19- 8,"Bishop Brook, Upper, and tribs",stream and tribs above Hadlock Pond,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0039.html,28536.11621
1005-0043,C-134- 4-19-19,"Glen Lake Brook, Lower, and tribs",stream and tribs from mouth to Lake Sunnyside (trib -4),Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0043.pdf,18057.43886
1005-0045,C-134- 4-19-19,"Glen Lake Brook, Upper, and tribs",stream and tribs above Route 9,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1005-0045.pdf,30740.15965
0501-0017,Pa  3 (portion 4),"Chemung River, Upper, Main Stem",from near Big Flats to Painted Post,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0017.html,15980.67993
0501-0018,Pa  3- 1 thru 5,Minor Tribs to Lower Chemung River,"total length of all tribs, from Waverly to Chemung",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0018.html,31912.23399
0501-0019,Pa  3- 6,"Wynkoop Creek, Lower, and tribs","stream and tribs, from mouth to below Beantown",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0019.html,45664.91341
0501-0020,Pa  3- 6,"Wynkoop Creek, Upper, and tribs","stream and tribs, above Beantown",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0020.pdf,60777.4718
0501-0021,Pa  3- 7 thru 12,Minor Tribs to Chemung River,"total length of all tribs, from Chemung to Wellburg",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0021.pdf,37525.54939
0501-0022,Pa  3-14,"Baldwin Creek, Lower, and tribs","stream and tribs, from mouth to East Elmira",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0022.pdf,20337.43058
0501-0023,Pa  3-14,"Baldwin Creek, Upper, and tribs","stream and tribs, above East Elmira",Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0023.html,67044.73913
0501-0024,Pa  3-14- 2,Goldsmith Creek and tribs,entire stream and tribs,Chemung River,https://www.dec.ny.gov/data/WQP/PWL/0501-0024.html,32960.58877
0901-0001,SL (portion 2),"Saint Lawrence River, Main Stem",from Robert Moses Dam to Waddington,Saint Lawrence River,https://www.dec.ny.gov/data/WQP/PWL/0901-0001.html,53376.59614
0901-0002,SL (portion 1),"Saint Lawrence River, Main Stem",from St.Regis to Robert Moses Dam,Saint Lawrence River,https://www.dec.ny.gov/data/WQP/PWL/0901-0002.pdf,19137.93869
0901-0004,SL (portion 4),"Saint Lawrence River, Main Stem",from Ogdensburg to Lake Ontario,Saint Lawrence River,https://www.dec.ny.gov/data/WQP/PWL/0901-0004.pdf,104935.8595
0801-0098,Ont  19- 81-18-P782a thru P782d-,Tribs to Fulton Chain Lakes,total length of select tribs to First thru Fourth Lakes,Black River,https://www.dec.ny.gov/data/WQP/PWL/0801-0098.pdf,39647.27692
1003-0049,C- 15 (portion 1),"Saranac River, Lower, Main Stem",river from mouth the Woods Mills,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0049.html,24503.33126
1003-0051,"C- 15- 5, 5-3","Mead/Sandburn Brooks, Upper, and tribs",stream and tribs above Mead/Patterson Reservoirs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1003-0051.pdf,52728.42642
1006-0021,C-101-P367-27 thru 31,"Tribs to L.George, Southeast Shore",total length of selected tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1006-0021.pdf,52407.81391
1004-0078,C- 48- 6,"North Branch Boquet, Lower, and tribs",stream and tribs from mouth to Reber/Spruce Mill Brook,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0078.pdf,85577.05687
1004-0079,C- 48- 6-10,"Spruce Mill Brook, Lower, and tribs",stream and tribs from mouth to Lewis water supply,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0079.html,75006.41862
1004-0080,C- 48- 6-10,"Spruce Mill Brook, Upper, and tribs",stream and tribs above Lewis water supply intake,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0080.html,20788.42002
1004-0081,C- 48,"Boquet River, Upper, and tribs",stream and tribs above Elizabethtown,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0081.html,153569.7498
1004-0082,C- 48-26,Black River and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0082.pdf,60209.83614
1004-0095,C- 37,Little Trout Brook and tribs,entire stream and tribs,Lake Champlain,https://www.dec.ny.gov/data/WQP/PWL/1004-0095.pdf,17147.16661
