PWL_ID,NAME,DESCRIPT,BASIN,FACT_SHEET,Shape__Area,Shape__Length
0301-0043,Lyndonville Reservoir,entire reservoir,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0043.pdf,53157.6897,1391.740878
0301-0047,Middleport Reservoir,entire reservoir,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0047.pdf,29352.08112,1031.411588
0302-0001,Irondequoit Bay,entire bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0001.html,6722698.533,28445.09665
0302-0011,East Bay,entire bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0011.html,648237.7729,10022.51324
0302-0012,Port Bay,entire bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0012.html,1861938.357,12601.71979
0302-0017,Little Sodus Bay,entire bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0017.html,2946137.863,11978.72657
0302-0020,Sodus Bay,entire bay,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0020.pdf,12609225.32,38131.0637
0302-0033,Deep Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0302-0033.pdf,114731.0463,1701.195067
0102-0035,Divers Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0102-0035.pdf,14928.32935,560.4763228
0102-0039,Attica Reservoir,entire reservoir,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0102-0039.html,45838.12805,1669.951992
0102-0043,Faun Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0102-0043.pdf,179187.2768,2475.124516
0103-0010,Beaver Meadow Pond,entire pond,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0103-0010.pdf,154258.8693,2507.471908
0402-0050,Mill Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0050.html,24612.11218,931.2308709
0103-0016,Orchard Park Reservoir,entire reservoir,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0103-0016.pdf,93647.33588,1717.309811
0402-0051,Godfrey Pond,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0051.pdf,96157.57324,2030.964144
0301-0039,Albion Reservoir No.2,entire reservoir,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0039.pdf,34516.02319,1587.826696
0303-0096,Fritz Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0096.pdf,92385.19751,1301.266418
0301-0041,Glenwood Lake,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0041.html,351872.095,6123.694394
0303-0097,Hotel Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0097.pdf,93807.62061,1186.24002
0303-0091,Coan Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0091.pdf,232258.4939,2288.325921
0303-0092,Long Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0092.pdf,289901.2869,5048.945387
0303-0093,Lake Lorraine,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0093.pdf,68559.18872,1040.440998
0303-0094,Whitney Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0094.html,328691.6266,4492.12979
0402-0003,LeRoy Reservoir,entire lake,Genesee River,https://www.dec.ny.gov/data/WQP/PWL/0402-0003.html,188500.4639,2367.742992
0104-0001,Lime Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0001.pdf,645253.787,6313.135999
0104-0004,Java Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0004.html,214663.887,2854.336327
0104-0057,Clear Lake,entire lake,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0057.html,192254.6908,4028.663486
0104-0060,"Rainbow, Timber Lakes",total area of both lakes,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0060.pdf,156858.585,3313.206554
0104-0066,"Frog Pond, Sucker Pond",total area of both lakes,Lake Erie-Niagara River,https://www.dec.ny.gov/data/WQP/PWL/0104-0066.pdf,90731.69812,1876.580629
0301-0031,McCargo/Jefferson Lake,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0031.pdf,31669.8291,886.1946784
0301-0035,Waterport Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0301-0035.pdf,842834.5238,10060.0739
0303-0074,Bud Lee Pond,entire lake,Lake Ontario,https://www.dec.ny.gov/data/WQP/PWL/0303-0074.pdf,25759.99207,1479.463753
